exp: 3, bucketNum: 4, avgQueryLatency (ns): 11.4829424, updateLatency1 (ns): 211.7559687, updateLatency2 (ns): 117.0372428
exp: 4, bucketNum: 8, avgQueryLatency (ns): 9.557788, updateLatency1 (ns): 198.3520909, updateLatency2 (ns): 112.4063271
exp: 5, bucketNum: 16, avgQueryLatency (ns): 7.556106, updateLatency1 (ns): 75.4182574, updateLatency2 (ns): 291.3137338
exp: 6, bucketNum: 32, avgQueryLatency (ns): 9.2512132, updateLatency1 (ns): 124.2173977, updateLatency2 (ns): 309.2427047
exp: 7, bucketNum: 64, avgQueryLatency (ns): 10.6763695, updateLatency1 (ns): 83.7456384, updateLatency2 (ns): 321.2544533
exp: 8, bucketNum: 128, avgQueryLatency (ns): 11.0482344, updateLatency1 (ns): 76.0590825, updateLatency2 (ns): 302.4414075
exp: 9, bucketNum: 256, avgQueryLatency (ns): 7.1819794, updateLatency1 (ns): 96.5074832, updateLatency2 (ns): 277.8310282
exp: 10, bucketNum: 512, avgQueryLatency (ns): 7.266859, updateLatency1 (ns): 82.4631553, updateLatency2 (ns): 256.6153215
exp: 11, bucketNum: 1024, avgQueryLatency (ns): 7.1506404, updateLatency1 (ns): 79.3402444, updateLatency2 (ns): 306.9346007
exp: 12, bucketNum: 2048, avgQueryLatency (ns): 12.2670215, updateLatency1 (ns): 82.3707736, updateLatency2 (ns): 305.4164046
exp: 13, bucketNum: 4096, avgQueryLatency (ns): 12.3902829, updateLatency1 (ns): 80.6769122, updateLatency2 (ns): 266.0927124
exp: 14, bucketNum: 8192, avgQueryLatency (ns): 12.4610803, updateLatency1 (ns): 86.1979742, updateLatency2 (ns): 315.0792818
exp: 15, bucketNum: 16384, avgQueryLatency (ns): 12.7027227, updateLatency1 (ns): 83.6445178, updateLatency2 (ns): 319.8321629
exp: 16, bucketNum: 32768, avgQueryLatency (ns): 16.4748845, updateLatency1 (ns): 91.3196899, updateLatency2 (ns): 297.9495764
exp: 17, bucketNum: 65536, avgQueryLatency (ns): 10.0291489, updateLatency1 (ns): 95.2343185, updateLatency2 (ns): 337.2185807
exp: 18, bucketNum: 131072, avgQueryLatency (ns): 13.7276732, updateLatency1 (ns): 93.4824221, updateLatency2 (ns): 264.8073702
exp: 19, bucketNum: 262144, avgQueryLatency (ns): 14.4046734, updateLatency1 (ns): 106.4660424, updateLatency2 (ns): 301.584693
exp: 20, bucketNum: 524288, avgQueryLatency (ns): 15.7335579, updateLatency1 (ns): 151.2019088, updateLatency2 (ns): 340.7365848
exp: 21, bucketNum: 1048576, avgQueryLatency (ns): 34.7152013, updateLatency1 (ns): 353.7145082, updateLatency2 (ns): 265.7096617
exp: 22, bucketNum: 2097152, avgQueryLatency (ns): 53.5087262, updateLatency1 (ns): 396.034997, updateLatency2 (ns): 314.3942715
exp: 23, bucketNum: 4194304, avgQueryLatency (ns): 65.118609, updateLatency1 (ns): 403.1523186, updateLatency2 (ns): 361.7958857
exp: 24, bucketNum: 8388608, avgQueryLatency (ns): 67.8279996, updateLatency1 (ns): 631.6216372, updateLatency2 (ns): 748.3796451
